id	effectiveTime	active	moduleId	definitionStatusId
109006	20220731	1	999991001000101	900000000000074008
111002	20220731	1	999991001000101	900000000000074008
140004	20220731	1	999991001000101	900000000000073002
219006	20220731	1	999991001000101	900000000000074008
252000	20220731	1	999991001000101	900000000000074008
261000	20220731	1	999991001000101	900000000000074008
263002	20220731	1	999991001000101	900000000000074008
266005	20220731	1	999991001000101	900000000000073002
271003	20220731	1	999991001000101	900000000000074008
273000	20220731	1	999991001000101	900000000000074008
281004	20220731	1	999991001000101	900000000000073002
301000	20220731	1	999991001000101	900000000000074008
317006	20220731	1	999991001000101	900000000000074008
330007	20220731	1	999991001000101	900000000000074008
339008	20220731	1	999991001000101	900000000000074008
344001	20220731	1	999991001000101	900000000000074008
368009	20220731	1	999991001000101	900000000000073002
385006	20220731	1	999991001000101	900000000000074008
414003	20220731	1	999991001000101	900000000000074008
446003	20220731	1	999991001000101	900000000000074008
472007	20220731	1	999991001000101	900000000000074008
485005	20220731	1	999991001000101	900000000000074008
490008	20220731	1	999991001000101	900000000000073002
563001	20220731	1	999991001000101	900000000000074008
568005	20220731	1	999991001000101	900000000000074008
575006	20220731	1	999991001000101	900000000000074008
589001	20220731	1	999991001000101	900000000000074008
596004	20220731	1	999991001000101	900000000000074008
638008	20220731	1	999991001000101	900000000000074008
661005	20220731	1	999991001000101	900000000000074008
747006	20220731	1	999991001000101	900000000000074008
767002	20220731	1	999991001000101	900000000000073002
774007	20220731	1	999991001000101	900000000000074008
787001	20220731	1	999991001000101	900000000000073002
803009	20220731	1	999991001000101	900000000000074008
805002	20220731	1	999991001000101	900000000000073002
813001	20220731	1	999991001000101	900000000000073002
815008	20220731	1	999991001000101	900000000000073002
832007	20220731	1	999991001000101	900000000000074008
849000	20220731	1	999991001000101	900000000000074008
856006	20220731	1	999991001000101	900000000000074008
891003	20220731	1	999991001000101	900000000000073002
895007	20220731	1	999991001000101	900000000000074008
909007	20220731	1	999991001000101	900000000000074008
928000	20220731	1	999991001000101	900000000000073002
955009	20220731	1	999991001000101	900000000000074008
967006	20220731	1	999991001000101	900000000000074008
985004	20220731	1	999991001000101	900000000000074008
1015003	20220731	1	999991001000101	900000000000074008
1023001	20220731	1	999991001000101	900000000000073002
1028005	20220731	1	999991001000101	900000000000074008
1055001	20220731	1	999991001000101	900000000000073002
1085006	20220731	1	999991001000101	900000000000073002
1101003	20220731	1	999991001000101	900000000000074008
1110006	20220731	1	999991001000101	900000000000074008
1145003	20220731	1	999991001000101	900000000000074008
1159005	20220731	1	999991001000101	900000000000074008
1201005	20220731	1	999991001000101	900000000000074008
1211003	20220731	1	999991001000101	900000000000074008
1231004	20220731	1	999991001000101	900000000000074008
1239002	20220731	1	999991001000101	900000000000073002
1250004	20220731	1	999991001000101	900000000000074008
1261007	20220731	1	999991001000101	900000000000073002
1269009	20220731	1	999991001000101	900000000000074008
1290001	20220731	1	999991001000101	900000000000074008
1307006	20220731	1	999991001000101	900000000000074008
