id	effectiveTime	active	moduleId	sourceId	value	relationshipGroup	typeId	characteristicTypeId	modifierId
1091000003028	20220731	1	999991001000101	1204297004	#4	0	1142139005	900000000000011006	900000000000451002
1141000003021	20220731	1	999991001000101	1204297004	#300	1	1142135004	900000000000011006	900000000000451002
1151000003024	20220731	1	999991001000101	1204297004	#1	1	1142136003	900000000000011006	900000000000451002
1201000003027	20220731	1	999991001000101	1204297004	#200	2	1142135004	900000000000011006	900000000000451002
1211000003025	20220731	1	999991001000101	1204297004	#1	2	1142136003	900000000000011006	900000000000451002
1261000003028	20220731	1	999991001000101	1204297004	#8	3	1142135004	900000000000011006	900000000000451002
1271000003022	20220731	1	999991001000101	1204297004	#1	3	1142136003	900000000000011006	900000000000451002
1321000003029	20220731	1	999991001000101	1204297004	#300	4	1142135004	900000000000011006	900000000000451002
1331000003027	20220731	1	999991001000101	1204297004	#1	4	1142136003	900000000000011006	900000000000451002
1371000003025	20220731	1	999991001000101	1193819002	#2	0	1142139005	900000000000011006	900000000000451002
1421000003024	20220731	1	999991001000101	1193819002	#5	1	1142135004	900000000000011006	900000000000451002
1431000003021	20220731	1	999991001000101	1193819002	#1	1	1142136003	900000000000011006	900000000000451002
1481000003020	20220731	1	999991001000101	1193819002	#10	2	1142135004	900000000000011006	900000000000451002
1491000003022	20220731	1	999991001000101	1193819002	#1	2	1142136003	900000000000011006	900000000000451002
2171000003023	20220731	1	999991001000101	890298002	#1	0	1142139005	900000000000011006	900000000000451002
2221000003028	20220731	1	999991001000101	890298002	#1	1	1142137007	900000000000011006	900000000000451002
2231000003026	20220731	1	999991001000101	890298002	#50	1	1142138002	900000000000011006	900000000000451002
2661000003020	20220731	1	999991001000101	781826007	#1	0	1142139005	900000000000011006	900000000000451002
2711000003025	20220731	1	999991001000101	781826007	#1	1	1142137007	900000000000011006	900000000000451002
2721000003023	20220731	1	999991001000101	781826007	#500	1	1142138002	900000000000011006	900000000000451002
2931000003023	20220731	1	999991001000101	433142003	#2	0	1142139005	900000000000011006	900000000000451002
2981000003022	20220731	1	999991001000101	433142003	#25	1	1142135004	900000000000011006	900000000000451002
2991000003024	20220731	1	999991001000101	433142003	#1	1	1142136003	900000000000011006	900000000000451002
3041000003021	20220731	1	999991001000101	433142003	#100	2	1142135004	900000000000011006	900000000000451002
3051000003024	20220731	1	999991001000101	433142003	#1	2	1142136003	900000000000011006	900000000000451002
3101000003024	20220731	1	999991001000101	776446001	#1	0	1142139005	900000000000011006	900000000000451002
3451000003028	20220731	1	999991001000101	781892004	#1	0	1142139005	900000000000011006	900000000000451002
3501000003025	20220731	1	999991001000101	781892004	#1	1	1142137007	900000000000011006	900000000000451002
3511000003028	20220731	1	999991001000101	781892004	#50	1	1142138002	900000000000011006	900000000000451002
3761000003024	20220731	1	999991001000101	781954001	#1	0	1142139005	900000000000011006	900000000000451002
3811000003025	20220731	1	999991001000101	781954001	#1	1	1142137007	900000000000011006	900000000000451002
3821000003023	20220731	1	999991001000101	781954001	#50	1	1142138002	900000000000011006	900000000000451002
4061000003024	20220731	1	999991001000101	1153520006	#2	0	1142139005	900000000000011006	900000000000451002
4111000003023	20220731	1	999991001000101	1153520006	#250	1	1142135004	900000000000011006	900000000000451002
4121000003025	20220731	1	999991001000101	1153520006	#1	1	1142136003	900000000000011006	900000000000451002
4171000003026	20220731	1	999991001000101	1153520006	#25	2	1142135004	900000000000011006	900000000000451002
4181000003029	20220731	1	999991001000101	1153520006	#1	2	1142136003	900000000000011006	900000000000451002
4221000003021	20220731	1	999991001000101	408015000	#1	0	1142139005	900000000000011006	900000000000451002
4271000003020	20220731	1	999991001000101	408015000	#400	1	1142135004	900000000000011006	900000000000451002
4281000003022	20220731	1	999991001000101	408015000	#1	1	1142136003	900000000000011006	900000000000451002
4331000003025	20220731	1	999991001000101	318421004	#1	0	1142139005	900000000000011006	900000000000451002
4381000003026	20220731	1	999991001000101	318421004	#100	1	1142135004	900000000000011006	900000000000451002
4391000003029	20220731	1	999991001000101	318421004	#1	1	1142136003	900000000000011006	900000000000451002
4431000003024	20220731	1	999991001000101	766123007	#1	0	1142139005	900000000000011006	900000000000451002
4481000003023	20220731	1	999991001000101	766123007	#50	1	1142135004	900000000000011006	900000000000451002
4491000003020	20220731	1	999991001000101	766123007	#1	1	1142136003	900000000000011006	900000000000451002
4831000003022	20220731	1	999991001000101	776785007	#1	0	1142139005	900000000000011006	900000000000451002
5131000003027	20220731	1	999991001000101	318956006	#1	0	1142139005	900000000000011006	900000000000451002
5181000003028	20220731	1	999991001000101	318956006	#50	1	1142135004	900000000000011006	900000000000451002
5191000003026	20220731	1	999991001000101	318956006	#1	1	1142136003	900000000000011006	900000000000451002
5301000003022	20220731	1	999991001000101	376839008	#1	0	1142139005	900000000000011006	900000000000451002
5351000003023	20220731	1	999991001000101	376839008	#40	1	1142135004	900000000000011006	900000000000451002
5361000003021	20220731	1	999991001000101	376839008	#1	1	1142136003	900000000000011006	900000000000451002
5621000003023	20220731	1	999991001000101	774694009	#1	0	1142139005	900000000000011006	900000000000451002
6041000003027	20220731	1	999991001000101	1197506005	#1	0	1142139005	900000000000011006	900000000000451002
6091000003024	20220731	1	999991001000101	1197506005	#50	1	1142135004	900000000000011006	900000000000451002
6101000003029	20220731	1	999991001000101	1197506005	#1	1	1142136003	900000000000011006	900000000000451002
6251000003021	20220731	1	999991001000101	318850001	#1	0	1142139005	900000000000011006	900000000000451002
6301000003027	20220731	1	999991001000101	318850001	#2.5	1	1142135004	900000000000011006	900000000000451002
6311000003025	20220731	1	999991001000101	318850001	#1	1	1142136003	900000000000011006	900000000000451002
6481000003027	20220731	1	999991001000101	324520007	#1	0	1142139005	900000000000011006	900000000000451002
6531000003025	20220731	1	999991001000101	324520007	#1	1	1142137007	900000000000011006	900000000000451002
6541000003021	20220731	1	999991001000101	324520007	#40	1	1142138002	900000000000011006	900000000000451002
6611000003024	20220731	1	999991001000101	324842002	#1	0	1142139005	900000000000011006	900000000000451002
6661000003021	20220731	1	999991001000101	324842002	#1	1	1142137007	900000000000011006	900000000000451002
6671000003027	20220731	1	999991001000101	324842002	#80	1	1142138002	900000000000011006	900000000000451002
7091000003021	20220731	1	999991001000101	1201741000	#1	0	1142139005	900000000000011006	900000000000451002
7141000003028	20220731	1	999991001000101	1201741000	#30	1	1142135004	900000000000011006	900000000000451002
7151000003025	20220731	1	999991001000101	1201741000	#1	1	1142136003	900000000000011006	900000000000451002
7671000003029	20220731	1	999991001000101	1193769004	#1	0	1142139005	900000000000011006	900000000000451002
7721000003021	20220731	1	999991001000101	1193769004	#1.5	1	1142135004	900000000000011006	900000000000451002
7731000003023	20220731	1	999991001000101	1193769004	#1	1	1142136003	900000000000011006	900000000000451002
8261000003020	20220731	1	999991001000101	784971001	#2	0	1142139005	900000000000011006	900000000000451002
8311000003026	20220731	1	999991001000101	784971001	#1	1	1142137007	900000000000011006	900000000000451002
8321000003024	20220731	1	999991001000101	784971001	#5	1	1142138002	900000000000011006	900000000000451002
8371000003023	20220731	1	999991001000101	784971001	#1	2	1142137007	900000000000011006	900000000000451002
8381000003020	20220731	1	999991001000101	784971001	#20	2	1142138002	900000000000011006	900000000000451002
8951000003026	20220731	1	999991001000101	322917008	#1	0	1142139005	900000000000011006	900000000000451002
9001000003021	20220731	1	999991001000101	322917008	#60	1	1142135004	900000000000011006	900000000000451002
9011000003023	20220731	1	999991001000101	322917008	#1	1	1142136003	900000000000011006	900000000000451002
9121000003026	20220731	1	999991001000101	1193773001	#1	0	1142139005	900000000000011006	900000000000451002
9171000003027	20220731	1	999991001000101	1193773001	#1	1	1142137007	900000000000011006	900000000000451002
9181000003025	20220731	1	999991001000101	1193773001	#50	1	1142138002	900000000000011006	900000000000451002
9231000003024	20220731	1	999991001000101	374820000	#1	0	1142139005	900000000000011006	900000000000451002
9281000003023	20220731	1	999991001000101	374820000	#3	1	1142135004	900000000000011006	900000000000451002
9291000003020	20220731	1	999991001000101	374820000	#1	1	1142136003	900000000000011006	900000000000451002
9541000003025	20220731	1	999991001000101	774644008	#1	0	1142139005	900000000000011006	900000000000451002
9591000003022	20220731	1	999991001000101	321949006	#1	0	1142139005	900000000000011006	900000000000451002
9641000003026	20220731	1	999991001000101	321949006	#20	1	1142135004	900000000000011006	900000000000451002
9651000003028	20220731	1	999991001000101	321949006	#1	1	1142136003	900000000000011006	900000000000451002
10081000003023	20220731	1	999991001000101	782044000	#1	0	1142139005	900000000000011006	900000000000451002
10131000003023	20220731	1	999991001000101	782044000	#1	1	1142137007	900000000000011006	900000000000451002
10141000003027	20220731	1	999991001000101	782044000	#750	1	1142138002	900000000000011006	900000000000451002
10241000003024	20220731	1	999991001000101	1193761001	#1	0	1142139005	900000000000011006	900000000000451002
10291000003027	20220731	1	999991001000101	1193761001	#250	1	1142135004	900000000000011006	900000000000451002
10301000003028	20220731	1	999991001000101	1193761001	#1	1	1142136003	900000000000011006	900000000000451002
10341000003025	20220731	1	999991001000101	370169006	#1	0	1142139005	900000000000011006	900000000000451002
