id	effectiveTime	active	moduleId	refsetId	referencedComponentId	owlExpression
8002fde0-f727-4e33-8d32-ee771387aeeb	20220731	1	999991001000101	733073007	1162767002	SubClassOf(:1162767002 :252988009)
8004bac1-fc80-4909-ab7f-0e087b044a96	20220731	1	999991001000101	733073007	95657009	SubClassOf(:95657009 ObjectIntersectionOf(:128283000 :37796009))
80088134-1f53-4e52-8a23-59298e2b59ac	20220731	1	999991001000101	733073007	12461007	SubClassOf(:12461007 ObjectIntersectionOf(:7295002 :87770006))
8009909d-cb30-475d-b13a-2821c4611ead	20220731	1	999991001000101	733073007	126113007	SubClassOf(:126113007 ObjectIntersectionOf(:126090008 :419430000 ObjectSomeValuesFrom(:726542003 :773602006)))
800a44dc-6dbb-4e1c-af6d-fc8aa61de02c	20220731	1	999991001000101	733073007	169583006	SubClassOf(:169583006 :169578003)
800e845f-4050-4228-aa57-46558545f69e	20220731	1	999991001000101	733073007	54823002	SubClassOf(:54823002 ObjectIntersectionOf(:37668006 :40930008 ObjectSomeValuesFrom(:609096000 ObjectSomeValuesFrom(:363698007 :69748006))))
80109bb1-7ea0-4b11-89f9-a9f970e01c86	20220731	1	999991001000101	733073007	81917002	SubClassOf(:81917002 :301340007)
80130bbd-6607-4079-92b5-b001db86dc1f	20220731	1	999991001000101	733073007	78031003	EquivalentClasses(:78031003 ObjectIntersectionOf(:64572001 ObjectSomeValuesFrom(:609096000 ObjectIntersectionOf(ObjectSomeValuesFrom(:116676008 :708024004) ObjectSomeValuesFrom(:363698007 :34202007))) ObjectSomeValuesFrom(:609096000 ObjectIntersectionOf(ObjectSomeValuesFrom(:363713009 :260379002) ObjectSomeValuesFrom(:363714003 :86185002))) ObjectSomeValuesFrom(:609096000 ObjectSomeValuesFrom(:255234002 :195528001)) ObjectSomeValuesFrom(:609096000 ObjectSomeValuesFrom(:263502005 :90734009)) ObjectSomeValuesFrom(:609096000 ObjectSomeValuesFrom(:42752001 :195528001))))
8017acc0-14f7-4c11-86e6-5b98ea6623ee	20220731	1	999991001000101	733073007	407477006	SubClassOf(:407477006 :725894000)
8021b260-40cd-479c-89c8-02b1400834e1	20220731	1	999991001000101	733073007	441677009	EquivalentClasses(:441677009 ObjectIntersectionOf(:413815006 ObjectSomeValuesFrom(:609096000 ObjectIntersectionOf(ObjectSomeValuesFrom(:260686004 :360037004) ObjectSomeValuesFrom(:405813007 :39607008)))))
