id	effectiveTime	active	moduleId	refsetId	referencedComponentId
8022ddff-4d5d-4366-9692-52b733661434	20220731	1	999991001000101	816080008	40970001
8029ccea-f3ac-4563-ab88-789db5658069	20220731	1	999991001000101	816080008	275448003
802d746d-a527-46bf-af96-2279cc910012	20220731	1	999991001000101	816080008	213082003
802f7dc3-6842-48df-9184-04a925bdb77e	20220731	1	999991001000101	816080008	716530009
8030fa2f-8c3e-4107-8e33-bcdccd01ae0c	20220731	1	999991001000101	816080008	84282008
803b5ea2-a684-498f-bb83-875bb1f54f39	20220731	1	999991001000101	816080008	68893001
804085d6-5d66-4973-be8c-664494c75689	20220731	1	999991001000101	816080008	24871004
80445804-9204-4613-881b-d9bdb09ab153	20220731	1	999991001000101	816080008	103454008
80502d8b-b7ef-4a2a-a0f8-294f2ff8e7cb	20220731	1	999991001000101	816080008	782060001
805ee322-4739-4a10-9604-f69b217cd8d4	20220731	1	999991001000101	816080008	62394006
8069ba2e-920e-4e2f-8bb6-041d0b03689f	20220731	1	999991001000101	816080008	54404000
806bb150-af5f-4ef9-bd79-c79291c43922	20220731	1	999991001000101	816080008	12658000
806bc300-4d88-4980-9c6a-25c175322c69	20220731	1	999991001000101	816080008	36689008
806d3825-12be-44bc-b022-368a668f95cc	20220731	1	999991001000101	816080008	182836005
80720b26-0dd0-481d-bc8f-0308ee4274e8	20220731	1	999991001000101	816080008	325609008
80771e99-2d51-4587-8055-0e5c230319de	20220731	1	999991001000101	816080008	44119001
807ae57c-6837-4240-bbb9-e581e9c3a641	20220731	1	999991001000101	816080008	113809009
80895cb1-c853-48f0-8092-5ca01aa52dca	20220731	1	999991001000101	816080008	57805002
8093d48c-7563-4572-a506-e9430924c5a4	20220731	1	999991001000101	816080008	95820000
80966af0-99c3-4f72-9a0c-df403103d7fb	20220731	1	999991001000101	816080008	775425002
8099addb-9845-4324-baac-af68dec225a0	20220731	1	999991001000101	816080008	60937000
809a3e1d-f284-44b3-a988-bfe90fc95479	20220731	1	999991001000101	816080008	33149006
809cd0f3-d789-4823-b542-b64d1a699877	20220731	1	999991001000101	816080008	386692008
809fc520-2619-4130-8044-60d949fb07dd	20220731	1	999991001000101	816080008	871918007
80a508a3-7f8b-47f5-8035-0a42745f8d88	20220731	1	999991001000101	816080008	781857007
80ad49db-47e2-4d76-b2f5-18b94ce81726	20220731	1	999991001000101	816080008	206038006
80b0f3f9-dbbc-4d39-a943-02d2e00eca50	20220731	1	999991001000101	816080008	197805009
80b27cc3-acaf-43b8-a49e-42fcd3fb03bc	20220731	1	999991001000101	816080008	19346006
80b80826-0b2e-4d19-8b3d-723f46a114a0	20220731	1	999991001000101	816080008	720794005
80bc7337-235c-4bad-b129-74c3f73072f1	20220731	1	999991001000101	816080008	48134004
80cb6607-4047-4551-9b49-9d551c4e7f7c	20220731	1	999991001000101	816080008	30085007
80d26fdc-1368-4a39-adff-3c80bd2db938	20220731	1	999991001000101	816080008	775784001
80d9b384-68c0-40e7-96d9-02c35c8a9a15	20220731	1	999991001000101	816080008	199047001
80dc6235-4661-49b4-a071-b2e2190cdb46	20220731	1	999991001000101	816080008	300007000
80e3e04a-f967-40cf-abed-b47351f5bd01	20220731	1	999991001000101	816080008	444507004
80fc34ef-1bc1-4ee6-8233-34b0f6ac8df1	20220731	1	999991001000101	816080008	217157004
80fdae2d-1898-4b33-bb09-7a8ef0b7f4c4	20220731	1	999991001000101	816080008	55930002
81010103-d141-44e1-88e8-c7f92e6401c1	20220731	1	999991001000101	816080008	426373005
811140ac-fafd-49a8-a21d-fbd921494373	20220731	1	999991001000101	816080008	429290001
8112c2ba-a65e-4683-bb19-3b97f8bce364	20220731	1	999991001000101	816080008	105629000
81173c9a-d7df-4c82-9a8e-188a6d02f2b3	20220731	1	999991001000101	816080008	67531005
812b9ce4-3bfb-4cb3-b742-e739458809c0	20220731	1	999991001000101	816080008	103002009
8134b362-32cd-4454-b20c-9ed8b2f32cb0	20220731	1	999991001000101	816080008	7180009
81359d40-85f0-4efe-b35d-f96eb7993dce	20220731	1	999991001000101	816080008	324457003
