id	effectiveTime	active	moduleId	conceptId	languageCode	typeId	term	caseSignificanceId
2884458015	20220731	1	999991001000101	125671007	en	900000000000550004	Disruption of continuity of tissue, not necessarily due to external forces; may be due to weakness in the tissue or excessive internal pressures	900000000000017005
2884459011	20220731	1	999991001000101	127062003	en	900000000000550004	Peripheral blood red cell count above the normal range	900000000000017005
2884464010	20220731	1	999991001000101	24184005	en	900000000000550004	A finding of increased blood pressure; not necessarily hypertensive disorder	900000000000017005
2884471017	20220731	1	999991001000101	128489003	en	900000000000550004	Fine granular particles of rock or similar material	900000000000017005
2884481018	20220731	1	999991001000101	14766002	en	900000000000550004	Extraction using negative pressure	900000000000017005
2884489016	20220731	1	999991001000101	14734007	en	900000000000550004	Procedure related to the administrative aspects of health care, including admission, discharge, transfer, disposition, referral, business, legal, financial, quality review, peer review, data reporting, notification, and so forth	900000000000017005
2884496019	20220731	1	999991001000101	128105004	en	900000000000550004	Includes true von Willebrand disease with mutation at the VWF locus, as well as mimicking disorders with other mutations (pseudo VWD) and acquired von Willebrand syndrome	900000000000017005
2884507019	20220731	1	999991001000101	32750006	en	900000000000550004	An exploration using the sense of sight, done with the eyes	900000000000017005
2884512018	20220731	1	999991001000101	18115005	en	900000000000550004	Deposition of calcium in normally non calcified tissue	900000000000017005
2884523019	20220731	1	999991001000101	25694009	en	900000000000550004	A small, solid lesion, less than 1 cm in diameter, raised above the surface of the surrounding skin and hence palpable	900000000000017005
2884525014	20220731	1	999991001000101	2704003	en	900000000000550004	Any disease of sudden onset AND/OR short duration	900000000000017005
2884544019	20220731	1	999991001000101	339008	en	900000000000550004	A fluid-filled, raised, often translucent lesion, greater than 1 cm in diameter	900000000000017005
2884546017	20220731	1	999991001000101	29836001	en	900000000000550004	The body part defined by the hip joint and surrounding structures, including the region from the iliac crest to the thigh	900000000000017005
2884551011	20220731	1	999991001000101	33308003	en	900000000000550004	Disorder of back including back of neck.	900000000000017005
2884558017	20220731	1	999991001000101	53889007	en	900000000000550004	A cataract involving the nucleus of the lens	900000000000017005
2884561016	20220731	1	999991001000101	40617009	en	900000000000550004	An assistance of respiration	900000000000017005
2884565013	20220731	1	999991001000101	37931006	en	900000000000550004	A listening to spontaneously generated body sounds	900000000000017005
2884567017	20220731	1	999991001000101	35764002	en	900000000000550004	The four ventricles of the brain, including the two lateral ventricles, the third ventricle, and the fourth ventricle	900000000000017005
2884577015	20220731	1	999991001000101	42786005	en	900000000000550004	Localized swelling of the flexor pollicis longus muscle tendon that limits excursion within the tendon sheath and causes the tendon to be caught under the flexor tendon sheath, which typically causes a snap, pop or click when it releases with pressure.	900000000000017005
2884595017	20220731	1	999991001000101	47975008	en	900000000000550004	The root of the tongue is the posterior third, the dorsal surface of which forms the anterior wall of the oropharynx; it rests on the floor of the mouth, and the nerves and vessels that supply the intrinsic muscles of the tongue traverse it.	900000000000017005
2884597013	20220731	1	999991001000101	49549006	en	900000000000550004	The eye, ocular adnexa, afferent visual pathways, efferent visual pathways, and pupil innervation pathways	900000000000017005
2884599011	20220731	1	999991001000101	47002008	en	900000000000550004	A vesicle filled with leukocytes	900000000000017005
2884629011	20220731	1	999991001000101	246464006	en	900000000000550004	Any function or property that is not mainly morphologic or structural, including both measurable and observable features and physiologic actions	900000000000017005
2884637015	20220731	1	999991001000101	113343008	en	900000000000550004	An anatomical structure that consists of the maximal set of organ parts so connected to one another that together they constitute a self-contained unit of macroscopic anatomy, distinct both morphologically and functionally from other such units. Together with other organs, an organ constitutes an organ system or a body part. An organ is divisible into organ parts but not organs (examples: femur, biceps, liver, heart, aorta, sciatic nerve, ovary).	900000000000017005
2884643018	20220731	1	999991001000101	113076002	en	900000000000550004	Measurement of blood glucose in the fasting state and at specific intervals before and after oral or intravenous glucose load to determine the ability to maintain homeostasis of glucose.	900000000000017005
2884645013	20220731	1	999991001000101	113011001	en	900000000000550004	An exploration using the sense of touch	900000000000017005
2884660011	20220731	1	999991001000101	118292001	en	900000000000550004	To take something off or out, to get rid of, to eliminate	900000000000017005
2884669012	20220731	1	999991001000101	47538007	en	900000000000550004	Composite structure of hyaluronic acid gel within a stromal network of collagen fibrils	900000000000017005
2884674016	20220731	1	999991001000101	53120007	en	900000000000550004	Upper extremity, including shoulder, arm, forearm, wrist, and hand	900000000000017005
2884686018	20220731	1	999991001000101	56242006	en	900000000000550004	Electromagnetic radiation in the visible range as well as parts of the ultraviolet and infrared ranges	900000000000017005
2884690016	20220731	1	999991001000101	5880005	en	900000000000550004	An observation of the body or a body part using one of the five human senses (e.g. inspection, palpation, percussion, auscultation)	900000000000017005
2884696010	20220731	1	999991001000101	58000006	en	900000000000550004	Performance of the steps necessary to discharge a patient from a location of care delivery	900000000000017005
2884697018	20220731	1	999991001000101	5668004	en	900000000000550004	Jejunum, ileum, colon, rectum, and anal canal	900000000000017005
2884708014	20220731	1	999991001000101	62972009	en	900000000000550004	Removal done by pulling	900000000000017005
2884711010	20220731	1	999991001000101	64305001	en	900000000000550004	A raised, erythematous papule or cutaneous plaque, usually representing short-lived dermal edema	900000000000017005
2884712015	20220731	1	999991001000101	65801008	en	900000000000550004	Removal done with a cutting instrument	900000000000017005
2884730010	20220731	1	999991001000101	69105007	en	900000000000550004	One of the common carotid, internal carotid, or external carotid arteries	900000000000017005
2884751013	20220731	1	999991001000101	409073007	en	900000000000550004	Procedure that is synonymous with those activities such as teaching, demonstration, instruction, explanation, and advice that aim to increase knowledge and skills, change behaviors, assist coping and increase adherence to treatment.	900000000000017005
2884752018	20220731	1	999991001000101	122461007	en	900000000000550004	Removal of the contents of a body cavity or container	900000000000017005
2884753011	20220731	1	999991001000101	122462000	en	900000000000550004	Evacuation of liquid contents by gravity	900000000000017005
2884757012	20220731	1	999991001000101	122489005	en	900000000000550004	Organs of urine formation and secretion	900000000000017005
2884768012	20220731	1	999991001000101	409063005	en	900000000000550004	Psychosocial procedure that involves listening, reflecting, etc. to facilitate recognition of course of action / solution.	900000000000017005
2884773018	20220731	1	999991001000101	119247004	en	900000000000550004	Reduced serum albumin concentration	900000000000017005
2884774012	20220731	1	999991001000101	119250001	en	900000000000550004	Decreased concentration of the gamma fraction of serum globulin	900000000000017005
2884798017	20220731	1	999991001000101	122869004	en	900000000000550004	An observation, by some objective method, of amount, number, quantity, size, level, extent, or magnitude, resulting in an ordinal or quantitative value	900000000000017005
2884801011	20220731	1	999991001000101	1231004	en	900000000000550004	The three membranes that surround the brain and spinal cord, consisting of the dura mater, arachnoid, and pia mater. The pia and arachnoid in combination are referred to as the leptomeninges.	900000000000017005
2884804015	20220731	1	999991001000101	16982005	en	900000000000550004	The body part defined by the shoulder joint and its surrounding structures	900000000000017005
2884805019	20220731	1	999991001000101	417163006	en	900000000000550004	Disorder resulting from physical damage to the body	900000000000017005
2884807010	20220731	1	999991001000101	418506006	en	900000000000550004	Harmful physical force inflicted other than by accidental means in the context of a personal role relationship to the abused in which the action violates a social norm	900000000000017005
2884811016	20220731	1	999991001000101	123038009	en	900000000000550004	Material (structure, substance, device) removed from a source (patient, donor, physical location, product)	900000000000017005
2884816014	20220731	1	999991001000101	26889001	en	900000000000550004	Inflammation of skeletal muscle, not including inflammation of cardiac muscle	900000000000017005
2884817017	20220731	1	999991001000101	23426006	en	900000000000550004	A procedure on the respiratory tract that observes pulmonary function	900000000000017005
2884818010	20220731	1	999991001000101	78817002	en	900000000000550004	A construction of an opening between two hollow structures, organs, or spaces, be they real or artificial	900000000000017005
2884829014	20220731	1	999991001000101	78141002	en	900000000000550004	A disorder of the superior trunk of the brachial plexus or the fifth and sixth cervical spinal nerves or motor roots, resulting in weakness of proximal upper extremity musculature innervated by these nerve roots	900000000000017005
2884830016	20220731	1	999991001000101	72696002	en	900000000000550004	The body part defined by the knee joint and its surrounding structures	900000000000017005
2884836010	20220731	1	999991001000101	77465005	en	900000000000550004	To move body tissue or cells from donor site to recipient site	900000000000017005
2884838011	20220731	1	999991001000101	79095000	en	900000000000550004	Complete excision and removal of an entire body organ	900000000000017005
2884840018	20220731	1	999991001000101	81099000	en	900000000000550004	The stiffening of one or more cervical joints by operative means	900000000000017005
2884841019	20220731	1	999991001000101	8205005	en	900000000000550004	The body part defined by the wrist joint and surrounding structures	900000000000017005
2884844010	20220731	1	999991001000101	81723002	en	900000000000550004	Excision of normal topography	900000000000017005
2884848013	20220731	1	999991001000101	86088003	en	900000000000550004	A puncture into a space with an aspiration of that space	900000000000017005
2884861013	20220731	1	999991001000101	85921004	en	900000000000550004	A procedure done by piercing or penetrating with a pointed object or instrument	900000000000017005
2884862018	20220731	1	999991001000101	82515000	en	900000000000550004	A small (less than 1 cm) fluid-filled lesion, raised above the plane of surrounding skin	900000000000017005
2884868019	20220731	1	999991001000101	86075001	en	900000000000550004	Includes both quantitative and qualitative disorders of procoagulants	900000000000017005
2884869010	20220731	1	999991001000101	90412006	en	900000000000550004	Device used to examine the entire colon	900000000000017005
2884891015	20220731	1	999991001000101	84100007	en	900000000000550004	A clinically oriented interview of a patient or someone familiar with the patient	900000000000017005
2884900011	20220731	1	999991001000101	412726003	en	900000000000550004	Duration of the pregnancy	900000000000017005
2884901010	20220731	1	999991001000101	386053000	en	900000000000550004	Determination of a value, conclusion, or inference by evaluating evidence	900000000000017005
2884942013	20220731	1	999991001000101	410614008	en	900000000000550004	The act of building something	900000000000017005
2884966019	20220731	1	999991001000101	443694000	en	900000000000550004	Type II diabetes mellitus in which the blood glucose levels over time exceed levels such that tests that reflect long-term variation of blood glucose, such as HbA1c, exceed limits that are expected to be achieved by available therapies	900000000000017005
2884977013	20220731	1	999991001000101	441915005	en	900000000000550004	Measurement of any function carried out by the kidney or any of its parts as opposed to the function of the whole kidney	900000000000017005
2884986015	20220731	1	999991001000101	444073006	en	900000000000550004	Type I diabetes mellitus in which the blood glucose levels over time exceed levels such that tests that reflect long-term variation of blood glucose, such as HbA1c, exceed limits that are expected to be achieved by available therapies.	900000000000017005
2884991019	20220731	1	999991001000101	55566008	en	900000000000550004	Accidental physical contact or exposure with potential or actual harmful effect	900000000000017005
2902382014	20220731	1	999991001000101	447694001	en	900000000000550004	A route that begins within the respiratory tract, including the oropharynx and nasopharynx.	900000000000017005
2902472012	20220731	1	999991001000101	45890007	en	900000000000550004	A topical route that begins on the skin and has the propensity for systemic absorption via the dermal layer.	900000000000017005
2902507019	20220731	1	999991001000101	6064005	en	900000000000550004	A route that begins on the surface of the body.	900000000000017005
2913208012	20220731	1	999991001000101	35486000	en	900000000000550004	Bleeding into the intracranial subdural space	900000000000017005
2916662010	20220731	1	999991001000101	21454007	en	900000000000550004	Bleeding into the intracranial subarachnoid space	900000000000017005
2921168010	20220731	1	999991001000101	8009008	en	900000000000550004	Intermittent incontinence of urine while sleeping, regardless of whether intermittent daytime urinary incontinence is also present or not.	900000000000017005
2955721015	20220731	1	999991001000101	473011001	en	900000000000550004	The disposition to develop an allergic reaction, the allergic reaction itself or its consequences.	900000000000017005
2967401016	20220731	1	999991001000101	40275004	en	900000000000550004	A polymorphic pattern of inflammatory reaction of the skin in response to contact with external irritants or allergens.	900000000000017005
2967790012	20220731	1	999991001000101	232350006	en	900000000000550004	The disposition to develop an allergic reaction to a substance derived from dust mites e.g. Der p1, rather than the dust mite organism itself.	900000000000017005
2967791011	20220731	1	999991001000101	472963003	en	900000000000550004	An immune or non-immune mediated pathological process that represents the underlying mechanism of hypersensitivity conditions.	900000000000017005
2967794015	20220731	1	999991001000101	421961002	en	900000000000550004	A pathological process initiated by exposure to a defined stimulus at a dose tolerated by normal persons. It may be the manifestation of a disposition to hypersensitivity.	900000000000017005
2967795019	20220731	1	999991001000101	609405001	en	900000000000550004	The disposition to develop a pseudoallergic reaction, the pseudoallergic reaction itself or its consequences.	900000000000017005
2967797010	20220731	1	999991001000101	473010000	en	900000000000550004	The disposition to develop an allergic or pseudoallergic reaction, the reaction itself or its consequences.	900000000000017005
2967798017	20220731	1	999991001000101	29268000	en	900000000000550004	A hypersensitivity condition of skin or mucous membranes at the site of direct surface contact with irritants or allergens. A general class that includes both immunologic and non-immunologic conditions.	900000000000017005
2967803014	20220731	1	999991001000101	609396006	en	900000000000550004	The disposition to develop a pseudoallergic reaction.	900000000000017005
2967806018	20220731	1	999991001000101	472964009	en	900000000000550004	A type of immune mediated hypersensitivity process that represents the underlying mechanism of allergic conditions.	900000000000017005
2972086014	20220731	1	999991001000101	315058005	en	900000000000550004	Autosomal dominant disease caused by a germline mutation in a DNA mismatch repair (MMR) gene and manifest by hereditary malignancy.	900000000000017005
2985922013	20220731	1	999991001000101	89461002	en	900000000000550004	Disease of the heart muscle associated with electrical or mechanical dysfunction, in which the heart is the sole or predominantly involved organ.	900000000000017005
2986291011	20220731	1	999991001000101	128045006	en	900000000000550004	Inflammation located in and spreading along planes of connective tissue. In regions of the body covered by skin, it involves subcutaneous tissue and also the dermis. It may spread to deeper fascial layers and muscle.	900000000000017005
2987155015	20220731	1	999991001000101	36813001	en	900000000000550004	A condition in which the placenta is located over or near the internal os of the cervix, increasing the risk of hemorrhage.	900000000000017005
2987157011	20220731	1	999991001000101	271813007	en	900000000000550004	A group of small reddish or purplish spots in skin or mucous membrane as a result of localized hemorrhage.	900000000000017005
2987158018	20220731	1	999991001000101	22649008	en	900000000000550004	An abnormal inflammatory skin condition resulting from exposure to ultraviolet light, most commonly sunlight. May result from phototoxic or photoallergic reactions or both.	900000000000017005
2988746011	20220731	1	999991001000101	79909001	en	900000000000550004	The human specific species of Pneumocystis.	900000000000017005
2988812019	20220731	1	999991001000101	609404002	en	900000000000550004	A type of non-immune hypersensitivity process that represents the underlying mechanism of pseudoallergic conditions.	900000000000017005
