id	effectiveTime	active	moduleId	refsetId	referencedComponentId	attributeDescription	attributeType	attributeOrder
88d39baa-abac-4b13-bc25-5cf477b533fe	20220731	1	999991001000101	900000000000456007	900000000000508004	900000000000510002	900000000000462002	0
8cc237cc-fb8e-4c81-9627-49ffe6d2d69d	20220731	1	999991001000101	900000000000456007	900000000000509007	900000000000511003	900000000000461009	1
ae939259-a51d-4e8e-9a12-c34364fc334b	20220731	1	999991001000101	900000000000456007	900000000000534007	900000000000537000	900000000000475002	2
b8201b9b-7184-4c81-8341-3604c673500c	20220731	1	999991001000101	900000000000456007	816080008	449608002	900000000000461009	0
b8a0ea5b-a796-428a-8120-06566fed2f7d	20220731	1	999991001000101	900000000000456007	900000000000456007	900000000000458008	900000000000461009	1
d1005749-7aab-4814-b365-547f8c05302d	20220731	1	999991001000101	900000000000456007	733073007	762677007	762678002	1
df28e615-5f7d-42fa-9ca5-c14a849306d7	20220731	1	999991001000101	900000000000456007	900000000000509007	900000000000510002	900000000000462002	0
e304acdd-ebaf-4d43-94d1-593f5d2c710e	20220731	1	999991001000101	900000000000456007	900000000000508004	900000000000511003	900000000000461009	1
0e33693b-cccb-4152-807d-1a6ebe0515b8	20220731	1	999991001000101	900000000000456007	900000000000456007	449608002	900000000000461009	0
1fa2b2e8-6872-4ddc-8750-2b2a4f938802	20220731	1	999991001000101	900000000000456007	733073007	449608002	900000000000461009	0
32ed4a93-4201-477b-aa7d-7fe976d23c37	20220731	1	999991001000101	900000000000456007	900000000000534007	900000000000536009	900000000000475002	1
3d82e29e-ff02-47c4-a3c1-ff8c7fc60578	20220731	1	999991001000101	900000000000456007	900000000000534007	900000000000535008	900000000000461009	0
40bd5c13-0ebe-42d1-97cf-5cab9f9e1dbd	20220731	1	999991001000101	900000000000456007	900000000000456007	900000000000459000	900000000000461009	2
4fa5d057-5ead-4494-87dd-8205808caaf4	20220731	1	999991001000101	900000000000456007	900000000000456007	900000000000479008	900000000000478000	3
